signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
FUS_P525L_heteroz,1,0.0867,Narciclasine,BRD-K06792661,PC3,10.0,6.0,,
FUS_P525L_heteroz,2,0.0816,Emetine Dihydrochloride Hydrate (74),BRD-K01976263,VCAP,0.63,6.0,,
FUS_P525L_heteroz,3,0.0663,Importazole,BRD-A02481876,A549,60.0,6.0,,
FUS_P525L_heteroz,4,0.0663,PERHEXILINE MALEATE,BRD-A19633847,SNUC5,10.0,6.0,,
FUS_P525L_heteroz,5,0.0663,-666,BRD-K92317137,HEPG2,10.0,6.0,,
FUS_P525L_heteroz,6,0.0663,wortmannin,BRD-A75409952,PC3,10.0,6.0,,
FUS_P525L_heteroz,7,0.0663,S1130,BRD-K24681473,HT29,10.0,6.0,,
FUS_P525L_heteroz,8,0.0663,-666,BRD-K39987650,MCF7,10.0,24.0,,
FUS_P525L_heteroz,9,0.0663,foretinib,BRD-K03449891,PC3,10,24,,
FUS_P525L_heteroz,10,0.0663,sorafenib,BRD-K23984367,A549,10,24,,
FUS_P525L_heteroz,11,0.0663,PI-103,BRD-K67868012,PC3,1.11,24,,
FUS_P525L_heteroz,12,0.0612,Homoharringtonine,BRD-K76674262,PC3,10.0,24.0,,
FUS_P525L_heteroz,13,0.0612,Cycloheximide,BRD-A62184259,PC3,10.0,6.0,,
FUS_P525L_heteroz,14,0.0612,-666,BRD-K19295594,A549,11.1,6.0,,
FUS_P525L_heteroz,15,0.0612,"2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001",BRD-K53932786,HCC515,10.0,6.0,,
FUS_P525L_heteroz,16,0.0612,-666,BRD-K81795824,PC3,10.0,24.0,,
FUS_P525L_heteroz,17,0.0612,C8273,BRD-K25504083,MCF7,10.0,24.0,,
FUS_P525L_heteroz,18,0.0612,F1566-0341,BRD-K69852452,MCF7,10.0,6.0,,
FUS_P525L_heteroz,19,0.0612,-666,BRD-K92428153,MCF7,10.0,24.0,,
FUS_P525L_heteroz,20,0.0612,-666,BRD-A62184259,A549,10.0,6.0,,
FUS_P525L_heteroz,21,0.0612,withaferin-a,BRD-K88378636,MCF10A,10,24,,
FUS_P525L_heteroz,22,0.0612,GSK-2126458,BRD-K42918627,MCF10A,1.11,24,,
FUS_P525L_heteroz,23,0.0561,Homoharringtonine,BRD-K76674262,HCC515,10.0,24.0,,
FUS_P525L_heteroz,24,0.0561,Anisomycin,BRD-K91370081,HCC515,10.0,6.0,,
FUS_P525L_heteroz,25,0.0561,EMETINE,BRD-A25687296,HCC515,10.0,6.0,,
FUS_P525L_heteroz,26,0.0561,Cycloheximide,BRD-A62184259,HCC515,10.0,6.0,,
FUS_P525L_heteroz,27,0.0561,CYCLOHEXIMIDE,BRD-K36055864,HCC515,10.0,6.0,,
FUS_P525L_heteroz,28,0.0561,BVT 948,BRD-A22713669,PC3,10.0,24.0,,
FUS_P525L_heteroz,29,0.0561,Narciclasine,BRD-K06792661,A549,10.0,6.0,,
FUS_P525L_heteroz,30,0.0561,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,A549,80.0,6.0,,
FUS_P525L_heteroz,31,0.0561,Ro 28-1675 ?,BRD-K21672174,A549,160.0,6.0,,
FUS_P525L_heteroz,32,0.0561,Ursolic Acid,BRD-K68185022,A549,70.07,6.0,,
FUS_P525L_heteroz,33,0.0561,Emetine Dihydrochloride Hydrate (74),BRD-K01976263,HCC15,0.63,6.0,,
FUS_P525L_heteroz,34,0.0561,Narciclasine,BRD-K06792661,HT115,10.0,6.0,,
FUS_P525L_heteroz,35,0.0561,-666,BRD-K92317137,HT29,10.0,6.0,,
FUS_P525L_heteroz,36,0.0561,Importazole,BRD-A02481876,MCF7,60.0,24.0,,
FUS_P525L_heteroz,37,0.0561,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,6.0,,
FUS_P525L_heteroz,38,0.0561,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW948,10.0,6.0,,
FUS_P525L_heteroz,39,0.0561,PX12,BRD-A56592690,VCAP,30.0,6.0,,
FUS_P525L_heteroz,40,0.0561,-666,BRD-U86922168,PC3,10.0,6.0,,
FUS_P525L_heteroz,41,0.0561,X0379,BRD-K77390737,VCAP,10.0,24.0,,
FUS_P525L_heteroz,42,0.0561,-666,BRD-K91370081,A549,10.0,6.0,,
FUS_P525L_heteroz,43,0.0561,-666,BRD-K23478508,A549,10.0,6.0,,
FUS_P525L_heteroz,44,0.0561,-666,BRD-K91145395,MCF7,10.0,6.0,,
FUS_P525L_heteroz,45,0.0561,vorinostat,BRD-K81418486,PC3,10.0,6.0,,
FUS_P525L_heteroz,46,0.0561,PLX-4720,BRD-K16478699,HEPG2,10,24,,
FUS_P525L_heteroz,47,0.0561,entinostat,BRD-K77908580,PC3,0.37,24,,
FUS_P525L_heteroz,48,0.0561,WZ-3105,BRD-K92571446,HT29,0.37,24,,
FUS_P525L_heteroz,49,0.0561,torin-1,BRD-K40175214,HS578T,10,24,,
FUS_P525L_heteroz,50,0.0561,QL-XII-47,BRD-K99252563,MCF10A,10,3,,
