signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
FUS_P525L_homoz,1,0.0569,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HA1E,80.0,6.0,,
FUS_P525L_homoz,2,0.0569,Importazole,BRD-A02481876,MCF7,60.0,24.0,,
FUS_P525L_homoz,3,0.0569,WZ-3105,BRD-K92571446,A549,10,24,,
FUS_P525L_homoz,4,0.0521,cercosporin,BRD-A78360835,A549,10.0,24.0,,
FUS_P525L_homoz,5,0.0521,-666,BRD-K98824517,A375,10.0,6.0,,
FUS_P525L_homoz,6,0.0521,CGP-60474,BRD-K79090631,A549,0.37,24,,
FUS_P525L_homoz,7,0.0521,WZ-3105,BRD-K92571446,HCC515,0.12,24,,
FUS_P525L_homoz,8,0.0521,CGP-60474,BRD-K79090631,HT29,1.11,24,,
FUS_P525L_homoz,9,0.0521,BMS-387032,BRD-K43389698,LNCAP,1.11,24,,
FUS_P525L_homoz,10,0.0521,JNK-9L,BRD-K19220233,LNCAP,3.33,24,,
FUS_P525L_homoz,11,0.0521,withaferin-a,BRD-K88378636,PC3,10,24,,
FUS_P525L_homoz,12,0.0474,gemcitabine,BRD-K15108141,A375,0.08,24.0,,
FUS_P525L_homoz,13,0.0474,-666,BRD-K92317137,A375,10.0,6.0,,
FUS_P525L_homoz,14,0.0474,YM-155,BRD-K76703230,A673,0.31,6.0,,
FUS_P525L_homoz,15,0.0474,-666,BRD-K92317137,RMUGS,10.0,6.0,,
FUS_P525L_homoz,16,0.0474,-666,BRD-K92317137,SW620,10.0,6.0,,
FUS_P525L_homoz,17,0.0474,curcubitacin I,BRD-A28105619,VCAP,10.0,6.0,,
FUS_P525L_homoz,18,0.0474,PX12,BRD-A56592690,VCAP,30.0,6.0,,
FUS_P525L_homoz,19,0.0474,Chemistry 2804,BRD-K74402642,VCAP,10.0,6.0,,
FUS_P525L_homoz,20,0.0474,"""""""4-[(1-methyl-2-oxo-1,2-dihydroquinolin-4-yl)oxy]-N-(4-methylpyridin-2-yl)butanamide""""""",BRD-K84203638,A549,10.0,24.0,,
FUS_P525L_homoz,21,0.0474,5846833,BRD-A27640568,A375,10.0,6.0,,
FUS_P525L_homoz,22,0.0474,-666,BRD-U86922168,PC3,10.0,6.0,,
FUS_P525L_homoz,23,0.0474,-666,BRD-A55594068,NPC,10.0,24.0,,
FUS_P525L_homoz,24,0.0474,-666,BRD-A60414806,NPC,10.0,24.0,,
FUS_P525L_homoz,25,0.0474,CGP-60474,BRD-K79090631,A549,3.33,24,,
FUS_P525L_homoz,26,0.0474,WZ-3105,BRD-K92571446,HCC515,10,24,,
FUS_P525L_homoz,27,0.0474,PF-562271,BRD-K99545815,LNCAP,10,24,,
FUS_P525L_homoz,28,0.0474,withaferin-a,BRD-K88378636,MCF7,10,24,,
FUS_P525L_homoz,29,0.0474,GSK-2126458,BRD-K42918627,SKBR3,0.37,24,,
FUS_P525L_homoz,30,0.0474,CGP-60474,BRD-K79090631,HT29,0.04,24,,
FUS_P525L_homoz,31,0.0427,CPT 11,BRD-K08547377,VCAP,10.0,24.0,,
FUS_P525L_homoz,32,0.0427,PALDA,BRD-K21064560,VCAP,10.0,24.0,,
FUS_P525L_homoz,33,0.0427,CGK 733,BRD-A50737080,HA1E,10.0,6.0,,
FUS_P525L_homoz,34,0.0427,TENIPOSIDE,BRD-A35588707,A375,10.0,6.0,,
FUS_P525L_homoz,35,0.0427,528116.cdx,BRD-K49371609,A549,0.09,24.0,,
FUS_P525L_homoz,36,0.0427,-666,BRD-K04853698,CORL23,10.0,6.0,,
FUS_P525L_homoz,37,0.0427,-666,BRD-A81541225,HEPG2,10.0,6.0,,
FUS_P525L_homoz,38,0.0427,auranofin,BRD-A79465854,HT115,10.0,6.0,,
FUS_P525L_homoz,39,0.0427,3-(piperidin-1-yl)propyl-4-amino-5-chloro-2methoxybenzoate . Hydrochloride,BRD-K01868942,HT115,160.0,6.0,,
FUS_P525L_homoz,40,0.0427,YM-155,BRD-K76703230,SKMEL28,0.31,6.0,,
FUS_P525L_homoz,41,0.0427,manumycin A,BRD-A77216878,VCAP,10.0,6.0,,
FUS_P525L_homoz,42,0.0427,NCGC00188740-01,BRD-K63770300,A375,10.0,24.0,,
FUS_P525L_homoz,43,0.0427,NCGC00238536-01,BRD-A63949900,HEPG2,10.0,6.0,,
FUS_P525L_homoz,44,0.0427,-666,BRD-K48654774,HEPG2,10.0,6.0,,
FUS_P525L_homoz,45,0.0427,trichostatin A,BRD-A19037878,VCAP,10.0,6.0,,
FUS_P525L_homoz,46,0.0427,"2-Dichloromethyl-4-ethylsulfanyl-6-phenyl-[1,3,5]triazine MLS-0208612.0001",BRD-K53932786,A375,10.0,6.0,,
FUS_P525L_homoz,47,0.0427,-666,BRD-K81795824,A375,10.0,6.0,,
FUS_P525L_homoz,48,0.0427,-666,BRD-K83336168,A549,10.0,24.0,,
FUS_P525L_homoz,49,0.0427,-666,BRD-K09854848,PC3,10.0,6.0,,
FUS_P525L_homoz,50,0.0427,GR-231,BRD-K61480498,HEPG2,10.0,6.0,,
