signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
FUS_R495X,1,0.0688,WZ-4-145,BRD-U61997977,HME1,3.33,24,,
FUS_R495X,2,0.0688,selumetinib,BRD-K57080016,HME1,10,24,,
FUS_R495X,3,0.0635,YM-155,BRD-K76703230,PC3,0.31,24.0,,
FUS_R495X,4,0.0635,trametinib,BRD-K12343256,A549,3.33,24,,
FUS_R495X,5,0.0635,WZ-4-145,BRD-U61997977,HME1,1.11,24,,
FUS_R495X,6,0.0582,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,24.0,,
FUS_R495X,7,0.0582,-666,BRD-K04853698,MCF7,10.0,6.0,,
FUS_R495X,8,0.0582,PLX-4720,BRD-K16478699,HEPG2,10,24,,
FUS_R495X,9,0.0529,-666,BRD-A36630025,MCF7,0.35,24.0,,
FUS_R495X,10,0.0529,528116.cdx,BRD-K49371609,MCF7,0.09,24.0,,
FUS_R495X,11,0.0529,-666,BRD-K05153001,A549,10.0,24.0,,
FUS_R495X,12,0.0529,VU0415113-1,BRD-K49183052,HEPG2,10.0,6.0,,
FUS_R495X,13,0.0529,-666,BRD-K92317137,MCF7,10.0,24.0,,
FUS_R495X,14,0.0529,WYE-125132,BRD-A45498368,A549,0.37,24,,
FUS_R495X,15,0.0476,Cycloheximide,BRD-A62184259,HCC515,10.0,6.0,,
FUS_R495X,16,0.0476,Importazole,BRD-A02481876,A549,60.0,6.0,,
FUS_R495X,17,0.0476,MW-ras12,BRD-A36275421,A549,10.0,6.0,,
FUS_R495X,18,0.0476,"""""""Ingenol 3, 20-dibenzoate""""""",BRD-A52650764,HCC515,10.0,24.0,,
FUS_R495X,19,0.0476,-666,BRD-K04853698,HT29,10.0,6.0,,
FUS_R495X,20,0.0476,auranofin,BRD-A79465854,MCF7,10.0,24.0,,
FUS_R495X,21,0.0476,-666,BRD-K92317137,MCF7,10.0,24.0,,
FUS_R495X,22,0.0476,MLN2238,BRD-K78659596,PC3,10.0,24.0,,
FUS_R495X,23,0.0476,-666,BRD-K04853698,PC3,10.0,6.0,,
FUS_R495X,24,0.0476,DG-041,BRD-K33272502,SW620,40.0,6.0,,
FUS_R495X,25,0.0476,-666,BRD-K48654774,HEPG2,10.0,6.0,,
FUS_R495X,26,0.0476,-666,BRD-K55722623,MCF7,10.0,24.0,,
FUS_R495X,27,0.0476,-666,BRD-K56196992,NPC,10.0,24.0,,
FUS_R495X,28,0.0476,-666,BRD-K63606607,A549,10.0,24.0,,
FUS_R495X,29,0.0476,-666,BRD-K98824517,A375,10.0,6.0,,
FUS_R495X,30,0.0476,trichostatin A,BRD-A19037878,PC3,10.0,6.0,,
FUS_R495X,31,0.0476,JNK-IN-5A,BRD-K76401790,HEPG2,10,24,,
FUS_R495X,32,0.0476,PF-477736,BRD-K03063480,HEPG2,3.33,24,,
FUS_R495X,33,0.0476,withaferin-a,BRD-K88378636,MCF10A,10,24,,
FUS_R495X,34,0.0476,AS-605240,BRD-K41895714,MCF10A,10,24,,
FUS_R495X,35,0.0476,WYE-125132,BRD-A45498368,MCF10A,0.12,24,,
FUS_R495X,36,0.0476,PD-0325901,BRD-K49865102,MCF10A,1.11,24,,
FUS_R495X,37,0.0476,QL-XII-47,BRD-K99252563,SKBR3,10,24,,
FUS_R495X,38,0.0423,TENIPOSIDE,BRD-A35588707,HCC515,10.0,24.0,,
FUS_R495X,39,0.0423,Cycloheximide,BRD-A62184259,HCC515,10.0,24.0,,
FUS_R495X,40,0.0423,-666,BRD-K92317137,A549,10.0,24.0,,
FUS_R495X,41,0.0423,-666,BRD-K17140735,A549,11.1,6.0,,
FUS_R495X,42,0.0423,vorinostat,BRD-K81418486,A673,11.1,6.0,,
FUS_R495X,43,0.0423,-666,BRD-A81541225,HEPG2,10.0,6.0,,
FUS_R495X,44,0.0423,-666,BRD-K04853698,HT115,10.0,6.0,,
FUS_R495X,45,0.0423,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,24.0,,
FUS_R495X,46,0.0423,ABT-751,BRD-K91623615,MCF7,10.0,24.0,,
FUS_R495X,47,0.0423,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW620,10.0,6.0,,
FUS_R495X,48,0.0423,"Ingenol 3, 20-dibenzoate",BRD-A52650764,SW620,10.0,6.0,,
FUS_R495X,49,0.0423,METHYLENE BLUE,BRD-K16406336,SW620,10.0,6.0,,
FUS_R495X,50,0.0423,LY-2183240,BRD-K37865504,SW620,10.0,6.0,,
