signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
SHARED_MN,1,0.1594,"Ingenol 3, 20-dibenzoate",BRD-A52650764,MCF7,10.0,6.0,,
SHARED_MN,2,0.1449,-666,BRD-K47869605,MCF7,10.0,24.0,,
SHARED_MN,3,0.1449,-666,BRD-K91145395,MCF7,10.0,6.0,,
SHARED_MN,4,0.1304,Narciclasine,BRD-K06792661,A549,10.0,6.0,,
SHARED_MN,5,0.1304,ABT-751,BRD-K91623615,MCF7,10.0,24.0,,
SHARED_MN,6,0.1304,"""""""4-[(1-methyl-2-oxo-1,2-dihydroquinolin-4-yl)oxy]-N-(4-methylpyridin-2-yl)butanamide""""""",BRD-K84203638,A549,10.0,24.0,,
SHARED_MN,7,0.1304,-666,BRD-K48654774,HEPG2,10.0,6.0,,
SHARED_MN,8,0.1304,S1130,BRD-K24681473,HT29,10.0,6.0,,
SHARED_MN,9,0.1304,-666,BRD-K63606607,A549,10.0,24.0,,
SHARED_MN,10,0.1304,BMS-387032,BRD-K43389698,LNCAP,1.11,24,,
SHARED_MN,11,0.1304,torin-1,BRD-K40175214,PC3,1.11,24,,
SHARED_MN,12,0.1159,Narciclasine,BRD-K06792661,HCC15,10.0,6.0,,
SHARED_MN,13,0.1159,PERHEXILINE MALEATE,BRD-A19633847,SNUC5,10.0,6.0,,
SHARED_MN,14,0.1159,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW948,10.0,6.0,,
SHARED_MN,15,0.1159,2-Chloro-N-heptyl-N-m-tolyl-acetamide,BRD-K19499941,A549,10.0,24.0,,
SHARED_MN,16,0.1159,VU0415113-1,BRD-K49183052,HEPG2,10.0,6.0,,
SHARED_MN,17,0.1159,S1176,BRD-K99498722,HEPG2,10.0,6.0,,
SHARED_MN,18,0.1159,F1566-0341,BRD-K69852452,MCF7,10.0,6.0,,
SHARED_MN,19,0.1159,-666,BRD-K91370081,A549,10.0,6.0,,
SHARED_MN,20,0.1159,-666,BRD-A93236127,A549,10.0,24.0,,
SHARED_MN,21,0.1159,-666,BRD-A94756469,A549,10.0,24.0,,
SHARED_MN,22,0.1159,WZ-3105,BRD-K92571446,HCC515,0.37,24,,
SHARED_MN,23,0.1159,PLX-4720,BRD-K16478699,HEPG2,10,24,,
SHARED_MN,24,0.1159,PF-562271,BRD-K99545815,LNCAP,10,24,,
SHARED_MN,25,0.1159,JNK-9L,BRD-K19220233,LNCAP,3.33,24,,
SHARED_MN,26,0.1159,PI-103,BRD-K67868012,PC3,0.37,24,,
SHARED_MN,27,0.1014,Anisomycin,BRD-K91370081,HCC515,10.0,6.0,,
SHARED_MN,28,0.1014,NOCODAZOLE,BRD-K12539581,HEPG2,10.0,6.0,,
SHARED_MN,29,0.1014,manumycin A,BRD-K78599730,A375,10.0,24.0,,
SHARED_MN,30,0.1014,Etoposide,BRD-A18419789,A375,10.0,6.0,,
SHARED_MN,31,0.1014,PERIPLOCYMARIN,BRD-A45333398,A549,10.0,6.0,,
SHARED_MN,32,0.1014,gemcitabine,BRD-K15108141,A375,0.08,24.0,,
SHARED_MN,33,0.1014,Importazole,BRD-A02481876,A549,60.0,6.0,,
SHARED_MN,34,0.1014,Ro 28-1675 ?,BRD-K21672174,A549,160.0,6.0,,
SHARED_MN,35,0.1014,Arachidonyl trifluoro-methyl ketone,BRD-K07303502,HA1E,80.0,6.0,,
SHARED_MN,36,0.1014,Emetine Dihydrochloride Hydrate (74),BRD-K01976263,HCC515,0.63,6.0,,
SHARED_MN,37,0.1014,YM-155,BRD-K76703230,PC3,0.31,24.0,,
SHARED_MN,38,0.1014,Narciclasine,BRD-K06792661,PC3,10.0,6.0,,
SHARED_MN,39,0.1014,YM-155,BRD-K76703230,SKMEL28,0.31,6.0,,
SHARED_MN,40,0.1014,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,SW620,10.0,6.0,,
SHARED_MN,41,0.1014,-666,BRD-K75477256,HEPG2,10.0,6.0,,
SHARED_MN,42,0.1014,-666,BRD-K47869605,HT29,10.0,6.0,,
SHARED_MN,43,0.1014,-666,BRD-A60414806,NPC,10.0,24.0,,
SHARED_MN,44,0.1014,-666,BRD-K23478508,A549,10.0,24.0,,
SHARED_MN,45,0.1014,-666,BRD-K65814004,HEPG2,10.0,6.0,,
SHARED_MN,46,0.1014,-666,BRD-K26997899,HT29,10.0,6.0,,
SHARED_MN,47,0.1014,-666,BRD-K36055864,HT29,10.0,6.0,,
SHARED_MN,48,0.1014,vorinostat,BRD-K81418486,PC3,10.0,6.0,,
SHARED_MN,49,0.1014,CGP-60474,BRD-K79090631,A549,0.37,24,,
SHARED_MN,50,0.1014,WZ-3105,BRD-K92571446,A549,3.33,24,,
