signature,rank,score,perturbation,pert_id,cell_line,dose_um,time_h,overlap_up,overlap_dn
TARDBP_M337V,1,0.0616,Salermide,BRD-A67788537,A549,120.0,6.0,,
TARDBP_M337V,2,0.0616,CGP-60474,BRD-K79090631,A549,0.37,24,,
TARDBP_M337V,3,0.0616,CGP-60474,BRD-K79090631,A549,3.33,24,,
TARDBP_M337V,4,0.0616,PF-562271,BRD-K99545815,A549,10,24,,
TARDBP_M337V,5,0.0616,BMS-387032,BRD-K43389698,A549,0.37,24,,
TARDBP_M337V,6,0.0569,Etoposide,BRD-A18419789,A375,10.0,6.0,,
TARDBP_M337V,7,0.0569,MENADIONE,BRD-K78126613,VCAP,10.0,24.0,,
TARDBP_M337V,8,0.0569,-666,BRD-K04853698,VCAP,10.0,6.0,,
TARDBP_M337V,9,0.0569,-666,BRD-K63606607,A549,10.0,24.0,,
TARDBP_M337V,10,0.0569,withaferin-a,BRD-K88378636,MCF10A,10,24,,
TARDBP_M337V,11,0.0569,CGP-60474,BRD-K79090631,LNCAP,3.33,24,,
TARDBP_M337V,12,0.0569,AT-7519,BRD-K13390322,LNCAP,3.33,24,,
TARDBP_M337V,13,0.0569,CGP-60474,BRD-K79090631,HT29,0.04,24,,
TARDBP_M337V,14,0.0521,MK-0591,BRD-K39503511,A549,80.0,24.0,,
TARDBP_M337V,15,0.0521,NICLOSAMIDE,BRD-K35960502,A549,10.0,6.0,,
TARDBP_M337V,16,0.0521,PERHEXILINE MALEATE,BRD-A19633847,HA1E,10.0,24.0,,
TARDBP_M337V,17,0.0521,"Ingenol 3, 20-dibenzoate",BRD-A52650764,NCIH596,10.0,6.0,,
TARDBP_M337V,18,0.0521,MST- 312,BRD-K19894101,PC3,11.1,24.0,,
TARDBP_M337V,19,0.0521,-666,BRD-K04853698,PC3,10.0,6.0,,
TARDBP_M337V,20,0.0521,Dorsomorphin dihydrochloride,BRD-K54233340,U937,10.0,6.0,,
TARDBP_M337V,21,0.0521,vorinostat,BRD-K81418486,PC3,10.0,6.0,,
TARDBP_M337V,22,0.0521,7241-4207,BRD-K69852452,MCF7,10.0,6.0,,
TARDBP_M337V,23,0.0521,nilotinib,BRD-K81528515,A549,10,24,,
TARDBP_M337V,24,0.0521,CGP-60474,BRD-K79090631,HT29,0.37,24,,
TARDBP_M337V,25,0.0521,AT-7519,BRD-K13390322,HT29,1.11,24,,
TARDBP_M337V,26,0.0521,CGP-60474,BRD-K79090631,LNCAP,1.11,24,,
TARDBP_M337V,27,0.0521,CGP-60474,BRD-K79090631,LNCAP,0.12,24,,
TARDBP_M337V,28,0.0521,JNK-9L,BRD-K19220233,MCF7,3.33,24,,
TARDBP_M337V,29,0.0521,PHA-793887,BRD-K64800655,MCF7,10,24,,
TARDBP_M337V,30,0.0521,BMS-387032,BRD-K43389698,PC3,10,24,,
TARDBP_M337V,31,0.0521,BMS-345541,BRD-K13566078,SKBR3,10,24,,
TARDBP_M337V,32,0.0474,cercosporin,BRD-A78360835,HT29,10.0,24.0,,
TARDBP_M337V,33,0.0474,DL-PDMP,BRD-K05653692,A549,64.0,24.0,,
TARDBP_M337V,34,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,A549,10.0,6.0,,
TARDBP_M337V,35,0.0474,GW405833 hydrochloride,BRD-K10705233,HT115,40.0,6.0,,
TARDBP_M337V,36,0.0474,LY-2183240,BRD-K37865504,HT29,10.0,24.0,,
TARDBP_M337V,37,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,24.0,,
TARDBP_M337V,38,0.0474,gemcitabine,BRD-K15108141,MCF7,0.08,24.0,,
TARDBP_M337V,39,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,MCF7,10.0,6.0,,
TARDBP_M337V,40,0.0474,MENADIONE,BRD-K78126613,OV7,10.0,6.0,,
TARDBP_M337V,41,0.0474,YM-155,BRD-K76703230,SKMEL28,0.31,6.0,,
TARDBP_M337V,42,0.0474,phorbol-12-myristate-13-acetate (PMA),BRD-A15079084,THP1,10.0,6.0,,
TARDBP_M337V,43,0.0474,S1130,BRD-K24681473,HT29,10.0,6.0,,
TARDBP_M337V,44,0.0474,-666,BRD-K77908580,PC3,10.0,6.0,,
TARDBP_M337V,45,0.0474,HY-11001,BRD-K64800655,MCF7,10.0,24.0,,
TARDBP_M337V,46,0.0474,F1566-0341,BRD-K69852452,MCF7,10.0,6.0,,
TARDBP_M337V,47,0.0474,KM 00927,BRD-K85493820,VCAP,10.0,24.0,,
TARDBP_M337V,48,0.0474,-666,BRD-K35708212,A549,10.0,6.0,,
TARDBP_M337V,49,0.0474,-666,BRD-A46747628,A549,10.0,6.0,,
TARDBP_M337V,50,0.0474,-666,BRD-A71459254,A549,10.0,6.0,,
