perturbation,n_signatures,signatures,lincs_score_mean,lincs_score_max,best_rank,clinical_phase,moa,target,indication,als_trial_status,als_trial_notes,composite_score
-666,6,FUS_KO;FUS_P525L_heteroz;FUS_P525L_homoz;FUS_R495X;SHARED_MN;TARDBP_M337V,0.0636,0.1449,2,,,,,,,0.3817
YM-155,5,FUS_KO;FUS_P525L_homoz;FUS_R495X;SHARED_MN;TARDBP_M337V,0.0651,0.1014,3,Phase 2,survivin inhibitor,BIRC5,,,,0.3255
"Ingenol 3, 20-dibenzoate",5,FUS_KO;FUS_P525L_heteroz;FUS_R495X;SHARED_MN;TARDBP_M337V,0.0638,0.1594,1,,,,,,,0.319
Importazole,5,FUS_KO;FUS_P525L_heteroz;FUS_P525L_homoz;FUS_R495X;SHARED_MN,0.0626,0.1014,2,,,,,,,0.3129
vorinostat,5,FUS_KO;FUS_P525L_heteroz;FUS_R495X;SHARED_MN;TARDBP_M337V,0.0616,0.1014,3,Launched,HDAC inhibitor,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9,cutaneous T-cell lymphoma (CTCL),,,0.3082
phorbol-12-myristate-13-acetate (PMA),5,FUS_KO;FUS_P525L_heteroz;FUS_R495X;SHARED_MN;TARDBP_M337V,0.0611,0.1159,6,,,,,,,0.3054
PLX-4720,4,FUS_KO;FUS_P525L_heteroz;FUS_R495X;SHARED_MN,0.0693,0.1159,8,Preclinical,RAF inhibitor,BRAF|KDR,,,,0.2774
JNK-9L,4,FUS_KO;FUS_P525L_homoz;SHARED_MN;TARDBP_M337V,0.0668,0.1159,10,,,,,,,0.2673
Arachidonyl trifluoro-methyl ketone,4,FUS_KO;FUS_P525L_heteroz;FUS_P525L_homoz;SHARED_MN,0.0654,0.1014,1,,,,,,,0.2616
withaferin-a,5,FUS_KO;FUS_P525L_heteroz;FUS_P525L_homoz;FUS_R495X;TARDBP_M337V,0.0514,0.0612,10,,,,,,,0.2569
S1130,3,FUS_P525L_heteroz;SHARED_MN;TARDBP_M337V,0.0814,0.1304,7,,,,,,,0.2441
PERHEXILINE MALEATE,3,FUS_P525L_heteroz;SHARED_MN;TARDBP_M337V,0.0781,0.1159,4,,,,,,,0.2343
CGP-60474,4,FUS_KO;FUS_P525L_homoz;SHARED_MN;TARDBP_M337V,0.057,0.1014,2,Preclinical,CDK inhibitor,CDK1|CDK2,,,,0.2279
PF-562271,3,FUS_P525L_homoz;SHARED_MN;TARDBP_M337V,0.075,0.1159,4,Phase 1,focal adhesion kinase inhibitor,PTK2|PTK2B,,,,0.2249
F1566-0341,3,FUS_P525L_heteroz;SHARED_MN;TARDBP_M337V,0.0748,0.1159,18,,,,,,,0.2245
